Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,6338 / 10000

Epoch,Cost,Accuracy
3,2.744523346405724,3769
4,2.581537223038075,4532
5,2.4311417889844034,4798
6,2.2775260869661484,5306
7,2.15753111898642,5514
8,2.0676913881420944,5741
9,2.0493429461875987,5872
10,1.915464473628392,5920
11,1.8420321696212845,6524
12,1.770887433508912,6665
13,1.7419377583976399,6607
14,1.7098787526112817,6634
15,1.6714268774714625,6857
16,1.643404995882784,6795
17,1.6622566155742775,6635
18,1.6543513738154445,6828
19,1.6224720118720233,6982
20,1.6290269620660771,6983
21,1.5190627643660757,7348
22,1.598733004275897,7079
23,1.5492007634343856,7330
24,1.4742902510940996,7329
25,1.5198609804677696,7168
26,1.4884042526322905,7166
27,1.4009471089661127,7693
28,1.3720773883987303,7610
29,1.4319231547608395,7535
