Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,9078 / 10000

Epoch,Cost,Accuracy
3,0.09717877386260411,1911
4,0.09982410413324168,1014
5,0.09961964389717759,1034
6,0.09864679628241012,1181
7,0.09960104999697812,1039
8,0.09979976495533285,1006
9,0.09985878485163463,1004
10,0.09987400811680067,993
11,0.09430664394525713,1791
12,0.09884810215300391,1195
13,0.09897753485899641,1162
14,0.0939683863411074,2076
15,0.09760734653694744,1420
16,0.09908101069802668,1111
17,0.13894381186516633,2984
18,0.09466165162917005,2134
19,0.09920875093798043,1112
20,0.09280887783150385,2059
21,0.09624451261169792,2136
22,0.09573436763700024,1680
23,0.09506080948371716,1752
24,0.09972430836796384,1033
25,0.09719254395389867,1393
26,0.09586046954402412,2219
27,0.10150854554587713,1823
28,0.09897985509718012,1146
29,0.0997725670386696,1013
